Sample,Plagioclase,Quartz,Amphibole,Phyllosilicates,K-Feldspar,Hematite
163,4,76,0,8,12,0
172,39,16,21,20,3,0
174,30,21,17,27,3,2
182,33,21,19,22,3,2
183,49,20,19,8,3,0
187,40,18,18,18,5,0
188,35,18,18,24,3,2
191,43,14,20,19,3,0
192,20,30,25,20,4,0
200,29,19,17,28,5,2
201,10,48,13,22,6,0
202,20,34,14,22,9,0
203,17,48,10,15,9,0
204,37,19,28,13,2,0
205,40,16,21,19,3,0
